iter	Passed	Remaining
0	348	348554
1	412	205784
2	434	144460
3	457	113922
4	480	95531
5	503	83434
6	530	75294
7	553	68660
8	576	63506
9	599	59338
10	623	56058
11	645	53186
12	667	50695
13	690	48602
14	713	46855
15	735	45263
16	758	43851
17	781	42658
18	807	41681
19	832	40784
20	855	39895
21	878	39059
22	900	38267
23	923	37545
24	945	36869
25	967	36236
26	990	35678
27	1012	35152
28	1034	34649
29	1056	34175
30	1079	33733
31	1101	33328
32	1124	32942
33	1146	32581
34	1168	32219
35	1190	31870
36	1212	31568
37	1235	31288
38	1258	31001
39	1280	30727
40	1302	30456
41	1322	30171
42	1344	29932
43	1366	29700
44	1388	29465
45	1410	29251
46	1431	29015
47	1452	28809
48	1474	28618
49	1496	28428
50	1518	28252
51	1538	28055
52	1561	27896
53	1582	27731
54	1604	27568
55	1641	27667
56	1665	27559
57	1687	27412
58	1709	27261
59	1730	27118
60	1753	26992
61	1775	26866
62	1797	26740
63	1820	26619
64	1845	26540
65	1868	26444
66	1891	26342
67	1913	26231
68	1934	26102
69	1956	25990
70	1978	25889
71	2000	25788
72	2021	25675
73	2043	25567
74	2065	25476
75	2087	25380
76	2109	25284
77	2130	25181
78	2152	25097
79	2175	25013
80	2196	24926
81	2219	24845
82	2240	24754
83	2262	24667
84	2283	24580
85	2304	24495
86	2326	24415
87	2347	24327
88	2368	24247
89	2390	24172
90	2413	24107
91	2435	24038
92	2456	23955
93	2478	23889
94	2499	23808
95	2521	23742
96	2542	23670
97	2563	23597
98	2586	23536
99	2607	23470
100	2630	23409
101	2651	23347
102	2673	23282
103	2695	23218
104	2717	23159
105	2739	23104
106	2763	23061
107	2784	22996
108	2805	22936
109	2827	22879
110	2849	22821
111	2871	22769
112	2895	22729
113	2919	22689
114	2941	22639
115	2963	22583
116	2985	22529
117	3006	22473
118	3029	22431
119	3051	22380
120	3074	22331
121	3095	22280
122	3116	22222
123	3137	22167
124	3160	22123
125	3182	22074
126	3203	22019
127	3224	21965
128	3245	21916
129	3267	21865
130	3289	21820
131	3311	21773
132	3331	21719
133	3353	21674
134	3375	21627
135	3396	21580
136	3418	21533
137	3440	21490
138	3462	21449
139	3484	21401
140	3505	21354
141	3526	21306
142	3548	21263
143	3569	21220
144	3591	21176
145	3613	21138
146	3635	21094
147	3657	21053
148	3678	21009
149	3699	20966
150	3721	20923
151	3742	20876
152	3763	20833
153	3785	20793
154	3807	20754
155	3828	20712
156	3850	20674
157	3871	20632
158	3896	20608
159	3918	20572
160	3943	20549
161	3964	20507
162	3986	20470
163	4007	20430
164	4030	20397
165	4052	20362
166	4073	20320
167	4094	20276
168	4115	20234
169	4135	20192
170	4157	20154
171	4178	20116
172	4201	20084
173	4223	20048
174	4245	20013
175	4267	19978
176	4287	19937
177	4310	19904
178	4332	19869
179	4354	19835
180	4376	19801
181	4398	19770
182	4419	19731
183	4442	19701
184	4463	19662
185	4484	19627
186	4506	19592
187	4528	19559
188	4550	19524
189	4572	19492
190	4594	19461
191	4616	19425
192	4638	19395
193	4660	19362
194	4682	19330
195	4705	19301
196	4727	19269
197	4748	19232
198	4769	19198
199	4791	19167
200	4814	19137
201	4835	19102
202	4857	19071
203	4879	19037
204	4902	19013
205	4926	18988
206	4949	18959
207	4972	18934
208	4995	18904
209	5017	18873
210	5039	18843
211	5061	18813
212	5082	18777
213	5102	18742
214	5124	18711
215	5146	18679
216	5167	18646
217	5189	18616
218	5210	18580
219	5232	18550
220	5253	18519
221	5276	18490
222	5298	18462
223	5319	18428
224	5340	18395
225	5362	18365
226	5384	18334
227	5405	18302
228	5426	18270
229	5448	18241
230	5470	18210
231	5491	18178
232	5512	18145
233	5533	18112
234	5554	18082
235	5577	18055
236	5598	18024
237	5619	17991
238	5640	17959
239	5662	17930
240	5682	17896
241	5704	17867
242	5726	17840
243	5748	17809
244	5768	17777
245	5789	17745
246	5811	17717
247	5832	17684
248	5853	17654
249	5875	17626
250	5897	17599
251	5918	17568
252	5939	17538
253	5964	17516
254	5986	17489
255	6009	17466
256	6033	17442
257	6053	17410
258	6075	17382
259	6097	17355
260	6119	17326
261	6140	17296
262	6160	17264
263	6182	17236
264	6202	17204
265	6224	17176
266	6247	17150
267	6269	17123
268	6292	17100
269	6315	17075
270	6337	17049
271	6359	17019
272	6380	16992
273	6401	16962
274	6423	16933
275	6444	16905
276	6466	16877
277	6487	16849
278	6509	16821
279	6530	16793
280	6552	16766
281	6574	16739
282	6596	16712
283	6617	16682
284	6639	16655
285	6660	16627
286	6681	16599
287	6703	16573
288	6725	16545
289	6747	16519
290	6769	16492
291	6790	16464
292	6811	16437
293	6833	16410
294	6855	16382
295	6877	16356
296	6898	16328
297	6919	16299
298	6942	16275
299	6964	16251
300	6989	16230
301	7013	16209
302	7038	16190
303	7062	16168
304	7085	16145
305	7110	16126
306	7133	16103
307	7155	16077
308	7176	16048
309	7198	16022
310	7220	15995
311	7243	15971
312	7264	15944
313	7288	15923
314	7310	15897
315	7331	15870
316	7353	15842
317	7374	15816
318	7396	15790
319	7418	15764
320	7439	15735
321	7460	15709
322	7482	15684
323	7505	15659
324	7528	15636
325	7551	15612
326	7572	15585
327	7595	15561
328	7617	15536
329	7640	15511
330	7661	15484
331	7682	15458
332	7706	15435
333	7728	15410
334	7750	15386
335	7772	15359
336	7794	15333
337	7815	15306
338	7837	15282
339	7860	15258
340	7881	15231
341	7903	15206
342	7925	15181
343	7948	15158
344	7970	15132
345	7993	15108
346	8016	15085
347	8039	15063
348	8063	15041
349	8085	15016
350	8108	14992
351	8129	14966
352	8152	14942
353	8173	14916
354	8195	14890
355	8217	14866
356	8241	14844
357	8264	14821
358	8287	14798
359	8309	14773
360	8331	14747
361	8352	14721
362	8376	14699
363	8398	14674
364	8419	14646
365	8440	14621
366	8462	14596
367	8483	14570
368	8506	14545
369	8528	14520
370	8550	14496
371	8572	14471
372	8592	14444
373	8614	14419
374	8636	14393
375	8658	14369
376	8681	14345
377	8703	14321
378	8723	14294
379	8745	14268
380	8767	14243
381	8789	14219
382	8813	14197
383	8835	14173
384	8856	14146
385	8878	14123
386	8900	14097
387	8920	14071
388	8942	14046
389	8964	14021
390	8989	14001
391	9013	13980
392	9037	13958
393	9059	13934
394	9083	13912
395	9104	13887
396	9127	13863
397	9148	13837
398	9169	13812
399	9191	13787
400	9213	13762
401	9234	13737
402	9256	13712
403	9279	13689
404	9299	13662
405	9321	13637
406	9343	13613
407	9364	13587
408	9387	13565
409	9408	13539
410	9431	13515
411	9452	13490
412	9473	13465
413	9496	13442
414	9518	13418
415	9543	13397
416	9566	13375
417	9591	13354
418	9613	13330
419	9636	13308
420	9659	13284
421	9680	13258
422	9702	13234
423	9723	13209
424	9745	13185
425	9767	13161
426	9791	13139
427	9812	13113
428	9835	13090
429	9857	13066
430	9879	13042
431	9901	13018
432	9922	12993
433	9943	12968
434	9965	12943
435	9987	12919
436	10008	12893
437	10029	12868
438	10052	12846
439	10076	12824
440	10100	12803
441	10124	12781
442	10146	12757
443	10168	12733
444	10191	12710
445	10212	12685
446	10236	12663
447	10257	12638
448	10279	12614
449	10301	12590
450	10322	12565
451	10344	12541
452	10366	12517
453	10387	12492
454	10410	12469
455	10432	12446
456	10455	12423
457	10477	12398
458	10499	12375
459	10522	12352
460	10544	12328
461	10567	12306
462	10589	12281
463	10612	12259
464	10634	12234
465	10657	12212
466	10678	12188
467	10701	12165
468	10724	12142
469	10747	12119
470	10769	12096
471	10790	12071
472	10813	12048
473	10836	12025
474	10857	12000
