iter	Logloss
0	0.6515380728
1	0.6138336199
2	0.5788412612
3	0.5476309241
4	0.5204674392
5	0.4974317017
6	0.4756940555
7	0.4557725583
8	0.4376055703
9	0.4222427648
10	0.4083137063
11	0.3946166081
12	0.3840173872
13	0.3725220027
14	0.3635683663
15	0.3542465901
16	0.3470239355
17	0.3404708628
18	0.3323924218
19	0.3259775633
20	0.3196253033
21	0.3132089841
22	0.3085026721
23	0.3035599044
24	0.2984449226
25	0.2938155792
26	0.2892929575
27	0.285513048
28	0.2820515448
29	0.2785475611
30	0.2753733702
31	0.2719258241
32	0.2687795305
33	0.2657625787
34	0.2628704359
35	0.2608327307
36	0.2585997478
37	0.2563083794
38	0.2543348508
39	0.2516698528
40	0.2496276064
41	0.24797231
42	0.2460655733
43	0.2439120496
44	0.2422407121
45	0.2397686814
46	0.2382515383
47	0.2365241248
48	0.2348165725
49	0.2330988903
50	0.2315484213
51	0.2301901279
52	0.2283491309
53	0.2271925207
54	0.2258419189
55	0.2245569793
56	0.2228855482
57	0.2216439249
58	0.2204623302
59	0.2189886471
60	0.2175972864
61	0.2166795657
62	0.2155531001
63	0.2142534331
64	0.2128763105
65	0.2115524616
66	0.2103300599
67	0.2093599521
68	0.2082077245
69	0.2072668557
70	0.2059619996
71	0.2051092931
72	0.2040251959
73	0.2031168701
74	0.2021240539
75	0.2013098598
76	0.200102297
77	0.1991575587
78	0.1982749876
79	0.1973311449
80	0.1961370622
81	0.1952282796
82	0.1942710792
83	0.1935732671
84	0.1925731029
85	0.1916928303
86	0.1907563259
87	0.1898930974
88	0.1890785535
89	0.1882362163
90	0.1875575723
91	0.1867432164
92	0.1860131993
93	0.1852330866
94	0.1845580108
95	0.1838284996
96	0.1828854433
97	0.1821821441
98	0.1815174297
99	0.1808362083
100	0.1801108351
101	0.1794713984
102	0.1787334285
103	0.1779355825
104	0.1771782415
105	0.1766426442
106	0.1760334465
107	0.175299859
108	0.1747167209
109	0.1738057135
110	0.1730762355
111	0.1724902169
112	0.1718704302
113	0.1712562646
114	0.1706734906
115	0.1698751153
116	0.1693452074
117	0.1686023285
118	0.1679507062
119	0.1675151615
120	0.1670003175
121	0.1664103688
122	0.1658905655
123	0.165081868
124	0.1645638096
125	0.1639400515
126	0.1633236335
127	0.1628046811
128	0.1621752582
129	0.1617144707
130	0.1612534583
131	0.1608452929
132	0.1602447627
133	0.1596356521
134	0.1592088464
135	0.1587268849
136	0.1581685512
137	0.1577133782
138	0.1572410624
139	0.1566819792
140	0.1562201445
141	0.1558259752
142	0.1552625387
143	0.1548644092
144	0.1544438587
