iter	Passed	Remaining
0	25	25263
1	48	24317
2	72	24001
3	94	23621
4	116	23153
5	140	23255
6	163	23154
7	186	23092
8	209	23111
9	237	23499
10	262	23562
11	285	23512
12	315	23921
13	337	23788
14	361	23743
15	386	23744
16	412	23840
17	437	23857
18	460	23801
19	484	23718
20	507	23647
21	530	23588
22	554	23540
23	577	23491
24	600	23436
25	623	23366
26	646	23309
27	670	23290
28	693	23220
29	715	23136
30	739	23111
31	762	23064
32	785	23020
33	808	22979
34	831	22930
35	855	22905
36	880	22905
37	904	22898
38	927	22852
39	950	22821
40	973	22761
41	996	22727
42	1019	22697
43	1042	22655
44	1065	22610
45	1089	22601
46	1112	22564
47	1136	22532
48	1159	22499
49	1181	22448
50	1204	22420
51	1227	22385
52	1251	22354
53	1273	22305
54	1297	22297
55	1335	22507
56	1359	22483
57	1382	22449
58	1405	22413
59	1432	22435
60	1456	22420
61	1480	22405
62	1504	22371
63	1527	22342
64	1550	22301
65	1575	22295
66	1598	22259
67	1621	22217
68	1644	22184
69	1667	22152
70	1691	22128
71	1715	22108
72	1737	22060
73	1760	22034
74	1784	22012
75	1807	21973
76	1829	21934
77	1851	21889
78	1875	21867
79	1898	21831
80	1920	21791
81	1944	21767
82	1966	21725
83	1989	21693
84	2011	21651
85	2035	21631
86	2058	21605
87	2081	21567
88	2104	21537
89	2128	21523
90	2151	21489
91	2174	21461
92	2197	21432
93	2222	21423
94	2246	21398
95	2270	21377
96	2292	21342
97	2315	21315
98	2339	21291
99	2362	21265
100	2386	21244
101	2409	21216
102	2432	21186
103	2459	21185
104	2486	21192
105	2511	21178
106	2533	21144
107	2556	21115
108	2579	21082
109	2602	21054
110	2625	21027
111	2648	20999
112	2671	20973
113	2696	20953
114	2718	20923
115	2742	20896
116	2765	20871
117	2788	20843
118	2811	20813
119	2834	20788
120	2857	20758
121	2880	20733
122	2906	20723
123	2929	20692
124	2952	20664
125	2975	20640
126	2999	20619
127	3022	20590
128	3044	20559
129	3068	20532
130	3090	20501
131	3114	20479
132	3137	20453
133	3160	20425
134	3184	20404
135	3207	20377
136	3230	20346
137	3253	20324
138	3277	20298
139	3300	20273
140	3322	20243
141	3346	20222
142	3369	20194
143	3392	20167
144	3416	20143
145	3438	20110
146	3461	20083
147	3483	20053
148	3507	20031
149	3534	20028
150	3560	20016
151	3583	19993
152	3607	19969
153	3630	19943
154	3652	19912
155	3676	19891
156	3699	19862
157	3722	19839
158	3745	19812
159	3768	19784
160	3792	19765
161	3815	19739
162	3839	19716
163	3862	19690
164	3885	19660
165	3907	19630
166	3930	19603
167	3953	19576
168	3976	19553
169	3997	19519
170	4021	19496
171	4044	19470
172	4066	19439
173	4089	19412
174	4111	19383
175	4134	19358
176	4157	19331
177	4180	19306
178	4203	19279
179	4226	19254
180	4250	19233
181	4273	19209
182	4295	19178
183	4320	19158
184	4342	19131
185	4365	19104
186	4387	19075
187	4410	19050
188	4433	19024
189	4458	19007
190	4481	18981
191	4504	18957
192	4526	18925
193	4550	18905
194	4576	18893
195	4602	18878
196	4624	18850
197	4647	18825
198	4671	18803
199	4694	18777
200	4717	18753
201	4740	18725
202	4764	18706
203	4787	18680
204	4808	18649
205	4832	18625
206	4855	18601
207	4880	18584
208	4902	18554
209	4924	18524
210	4947	18499
211	4970	18477
212	4994	18454
213	5017	18427
214	5040	18401
215	5062	18375
216	5085	18351
217	5109	18327
218	5133	18307
219	5154	18276
220	5177	18250
221	5200	18226
222	5223	18201
223	5246	18174
224	5268	18145
225	5290	18119
226	5314	18098
227	5337	18073
228	5361	18051
229	5384	18026
230	5406	17998
231	5431	17979
232	5455	17958
233	5479	17938
234	5504	17920
235	5529	17900
236	5555	17884
237	5580	17867
238	5608	17857
239	5635	17847
240	5660	17828
241	5684	17803
